Last Name,First Name,Display Name,Begin Date,End Date,Display Date,City,State,Country,Subcontinent,Continent,ConstituentID,latitude,longitude,geonameId,WhitneyUrl,"[latitude,longitude]",
Smith,Jacob,Jacob Getlar Smith,1898,1958,1898-1958,New York City,New York,United States of America,Central North America,North America,1235,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1235"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Smith,Judson,Judson Smith,1880,1962,1880-1962,Grand Haven,Michigan,United States of America,Central North America,North America,1236,43.06307,-86.22839,4994325,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1236"">Whitney.org</a>","[43.06307,-86.22839]","[43.06307,-86.22839]"
Soyer,Isaac,Isaac Soyer,1907,1981,1907-1981,Tambov,,Russia,Eurasia,,1254,52.73169,41.44326,484646,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1254"">Whitney.org</a>","[52.73169,41.44326]","[52.73169,41.44326]"
Soyer,Raphael,Raphael Soyer,1899,1987,1899-1987,Borisoglebsk,,Russia,Eurasia,,1256,51.36713,42.08494,572525,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1256"">Whitney.org</a>","[51.36713,42.08494]","[51.36713,42.08494]"
Speicher,Eugene,Eugene Speicher,1883,1962,1883-1962,Buffalo,New York,United States of America,Central North America,North America,1259,42.88645,-78.87837,5110629,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1259"">Whitney.org</a>","[42.88645,-78.87837]","[42.88645,-78.87837]"
Spencer,Niles,Niles Spencer,1893,1952,1893-1952,Pawtucket,Rhode Island,United States of America,Central North America,North America,1260,41.87871,-71.38256,5223869,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1260"">Whitney.org</a>","[41.87871,-71.38256]","[41.87871,-71.38256]"
Sprinchorn,Carl,Carl Sprinchorn,1887,1971,1887-1971,Brody,,Sweden,Northern Europe,Europe,1262,56.25521,14.07797,2719212,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1262"">Whitney.org</a>","[56.25521,14.07797]","[56.25521,14.07797]"
Spruance,Benton,Benton Murdoch Spruance,1904,1967,1904-1967,Philadelphia,Pennsylvania,United States of America,Central North America,North America,1263,39.95234,-75.16379,4560349,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1263"">Whitney.org</a>","[39.95234,-75.16379]","[39.95234,-75.16379]"
Stamos,Theodoros,Theodoros Stamos,1922,1997,1922-1997,New York City City,New York,United States of America,Central North America,North America,1268,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1268"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Stavenitz,Alexander,Alexander R. Stavenitz,1901,1960,1901-1960,Kiev,,Ukraine,Eurasia,,1273,50.45466,30.5238,703448,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1273"">Whitney.org</a>","[50.45466,30.5238]","[50.45466,30.5238]"
Stea,Cesare,Cesare Stea,1893,1960,1893-1960,Bari,,Italy,Southern Europe,Europe,1274,41.11148,16.8554,3182351,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1274"">Whitney.org</a>","[41.11148,16.8554]","[41.11148,16.8554]"
Steiger,Harwood,Harwood Steiger,1900,0,1900-,Macedon,New York,United States of America,Central North America,North America,1277,43.06923,-77.29887,5125591,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1277"">Whitney.org</a>","[43.06923,-77.29887]","[43.06923,-77.29887]"
Stella,Joseph,Joseph Stella,1877,1946,1877-1946,Muro Lucano,,Italy,Southern Europe,Europe,1281,40.75379,15.48808,3172436,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1281"">Whitney.org</a>","[40.75379,15.48808]","[40.75379,15.48808]"
Sternberg,Harry,Harry Sternberg,1904,2001,1904-2001,New York City,New York,United States of America,Central North America,North America,1283,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1283"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Sterne,Maurice,Maurice Sterne,1878,1957,1878-1957,Liepaja,,Latvia,Northern Europe,Europe,1285,56.51667,21.01667,457954,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1285"">Whitney.org</a>","[56.51667,21.01667]","[56.51667,21.01667]"
Sterner,Albert,Albert Sterner,1863,1946,1863-1946,London,,England,Great Britain,Europe,1286,51.50853,-0.12574,2643743,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1286"">Whitney.org</a>","[51.50853,-0.12574]","[51.50853,-0.12574]"
Stevens,Edward John,Edward John Stevens Jr.,1923,1988,1923-1988,Jersey City,New Jersey,United States of America,Central North America,North America,1289,40.72816,-74.07764,5099836,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1289"">Whitney.org</a>","[40.72816,-74.07764]","[40.72816,-74.07764]"
Stieglitz,Alfred,Alfred Stieglitz,1864,1946,1864-1946,Hoboken,New Jersey,United States of America,Central North America,North America,1292,40.74399,-74.03236,5099133,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1292"">Whitney.org</a>","[40.74399,-74.03236]","[40.74399,-74.03236]"
Stuempfig,Walter,Walter Stuempfig,1914,1970,1914-1970,Philadelphia,Pennsylvania,United States of America,Central North America,North America,1300,39.95234,-75.16379,4560349,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1300"">Whitney.org</a>","[39.95234,-75.16379]","[39.95234,-75.16379]"
Taylor,John,John W. Taylor,1897,1983,1897-1983,Baltimore,Maryland,United States of America,Central North America,North America,1319,39.29038,-76.61219,4347778,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1319"">Whitney.org</a>","[39.29038,-76.61219]","[39.29038,-76.61219]"
Taylor,Prentiss,Prentiss Hottel Taylor,1907,1991,1907-1991,"Washington, D.C.",,United States of America,Central North America,North America,1320,38.89511,-77.03637,4140963,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1320"">Whitney.org</a>","[38.89511,-77.03637]","[38.89511,-77.03637]"
Tofel,Jennings,Jennings Tofel,1891,1959,1891-1959,Tomaszów Mazowiecki,,Poland,Central Europe,Europe,1332,51.53131,20.00855,756867,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1332"">Whitney.org</a>","[51.53131,20.00855]","[51.53131,20.00855]"
Tollefson,Carl,Carl Anthony Tollefson,1899,0,1899-,Newport,Rhode Island,United States of America,,,1333,41.4901,-71.31283,5223593,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1333"">Whitney.org</a>","[41.4901,-71.31283]","[41.4901,-71.31283]"
Tomlin,Bradley,Bradley Walker Tomlin,1899,1953,1899-1953,Syracuse,New York,United States of America,Central North America,North America,1334,43.04812,-76.14742,5140405,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1334"">Whitney.org</a>","[43.04812,-76.14742]","[43.04812,-76.14742]"
