Title,Author,Language,Year
Telepathic hallucinations : the new view of ghosts,"Podmore, Frank, 1856-1910.",English,1909
"The end of Borley rectory, 'the most haunted house in England',","Price, Harry, 1881-1948.",English,1946
"'The most haunted house in England': ten years̓ investigation of Borley Rectory,","Price, Harry, 1881-1948.",English,1940
"Poltergeist over England; three centuries of mischievous ghosts,","Price, Harry, 1881-1948.",English,1945
Gallery of ghosts.,"Reynolds, James, 1891-",English,1949
Ghosts in American houses,"Reynolds, James, 1891-",English,1955
Ghosts in Irish houses.,"Reynolds, James, 1891-",English,1947
"Geisterseher; eine Sammlung seltsamer Erlebnisse berühmter Persönlichkeiten in Selbstzeugnissen und zeitgenössischen Berichten,","Rosenberger, Ludwig, 1894-1987, ed.",German,1952
"Historic British ghosts,","Sergeant, Philip W. (Philip Walsingham), 1872-1952",English,1936
Poltergeists; an introduction and examination followed by chosen instances,"Sitwell, Sacheverell, 1897-1988.",English,1940
"Unbidden guests, a book of real ghosts,","Stevens, William Oliver, 1878-1955.",English,1946
The mystery of Versailles : a complete solution,"Sturge-Whiting, J. R.",English,1938
"Apparitions; or, The mystery of ghosts, hobgoblins, and haunted houses developed.","Taylor, Joseph, 1761 or 1762-1844.",English,1815
"The mystery and lore of apparitions, with some account of ghosts, spectres, phantoms and boggarts in early times,","Thompson, C. J. S. (Charles John Samuel), 1862-1943.",English,1930
Ghosts and poltergeists;,"Thurston, Herbert, 1856-1939.",English,1954
Sur la piste de l'homme inconnu. Les phénomènes de hantise et de possession. D'après une masse de documents inédits (enquetes de police et de gendarmerie),"Tizané, Émile.",French,1951
Ghosts I have seen : and other psychic experiences,"Tweedale, Violet, 1862?-1936.",English,1919
The Epworth phenomena : to which are appended certain psychic experiences recorded by John Wesley in the pages of his Journal,"Wright, Dudley, 1868-1949.",English,1920
"Fatima, merveille inouie : les apparitions, le pèlerinage, les voyants, des miracles, des documents","Barthas, C.",French,1943
"Sketches of the philosophy of apparitions; or, An attempt to trace such illusions to their physical causes.","Hibbert, Samuel, 1782-1848.",English,1825
"Die brücke zum jenseits; erweiterte neubearbeitung von ""Gespenster und spuk"",","Kemmerich, Max Philipp Albert, 1876-1932.",German,1927
"Die Vision im Lichte der Kulturgeschichte und der Dämon des Sokrates; eine kulturgeschichtlich-psychiatrische Studie,","Knauer, Oswald, psychiatrist.",German,1899
Das Unerkannte auf seinem Weg durch die Jahrtausende : die merkwürdigsten der guten Glaubens erzählten Fälle aus dem Gebiet des Übersinnlichen im Wortlaut der ersten Berichte ; ohne Deutungsversuche,,German,1922
Foretold : stories of modern second-sight,"Le Champion, Loftus Claude Gerald, 1895-",English,1934
"Traité historique et dogmatique sur les apparitions, les visions & les révélations particulieéres. Avec des observations sur les Dissertations du r. p. Dom Calmet, abbé de Sénones, sur les apparitions & les revenans.","Lenglet Dufresnoy, Nicolas, 1674-1755.",French,1751
Omens and superstitions: curious facts and illustrative sketches.,,English,1868
"The ghost world; its realities, apparitions & spooks,","Wickwar, J. W. (John William), b. 1874.",English,1920
Aus einem alten Nest;,"Halder, Nold.",German,1923
"Narracion de la maravillosa aparición que hizo el Arcángel San Miguel á Diego Lazaro de San Francisco, Indio feligrés del Pueblo de S. Bernabé ...","Florencia, Francisco de.",Spanish,1898
Ghost stories; collected with a particular view to counteract the vulgar belief in ghosts and apparitions.,,English,1865
"Ghosts that still walk, real ghosts of America,","Lowndes, Marion S.",English,1945
"Macleod's history of witches, etc., etc., etc., The magesty of darkness discovered in series of tremenous tales ... in confirmation of a future state ...","McLeod, Malcolm, D.D.",English,1802
Maisons et lieux hantés.,"Montandon, Raoul, 1877-",French,1953
"Der Spuk; zweihundertundfünfzig Geschehnisse aller Arten und Zeiten aus der Welt des Übersinnlichen,","Piper, Otto, 1841-1921, ed.",German,1922
Alle guten Geister. Neuausg.,"Schrönghamer, Franz Xaver, 1881-",German,1954
Poltergeister;,"Thurston, Herbert, 1856-1939.",German,1955
"Recueil de Dissertations, anciennes et nouvelles, sur les Apparitions, les Visions et les Songes,","Lenglet Dufresnoy, Nicolas, 1674-1755.",French,1751
"A history of dreams, visions, apparitions, ecstasy, magnetism, and somnabulism.","Brierre de Boismont, Alexandre-Jacques-François, 1798-1881.",English,1855
The book of were-wolves: being an account of a terrible superstition.,"Baring-Gould, S. (Sabine), 1834-1924.",English,1865
"The confessions of Madeleine Bavent,","Bavent, Madeleine, 1607?-1652?",English,1933
Wild men in the Middle Ages.,"Bernheimer, Richard.",English,1952
The American gentleman,"Butler, Charles, of Philadelphia.",English,1839
